DP,DPNOM,MPIO,DPMP,AÑO,ÁREA GEOGRÁFICA,Población
5,Antioquia,5001,MEDELLIN,2023,Total,2595300
5,Antioquia,5002,ABEJORRAL,2023,Total,21297
5,Antioquia,5004,ABRIAQUI,2023,Total,2841
5,Antioquia,5021,ALEJANDRIA,2023,Total,4912
5,Antioquia,5030,AMAGA,2023,Total,32142
5,Antioquia,5031,AMALFI,2023,Total,27637
5,Antioquia,5034,ANDES,2023,Total,45796
5,Antioquia,5036,ANGELOPOLIS,2023,Total,6082
5,Antioquia,5038,ANGOSTURA,2023,Total,12005
5,Antioquia,5040,ANORI,2023,Total,19527
5,Antioquia,5042,SANTAFE DE ANTIOQUIA,2023,Total,27831
5,Antioquia,5044,ANZA,2023,Total,7433
5,Antioquia,5045,APARTADO,2023,Total,130362
5,Antioquia,5051,ARBOLETES,2023,Total,31853
5,Antioquia,5055,ARGELIA,2023,Total,7975
5,Antioquia,5059,ARMENIA,2023,Total,5358
5,Antioquia,5079,BARBOSA,2023,Total,55649
5,Antioquia,5086,BELMIRA,2023,Total,6356
5,Antioquia,5088,BELLO,2023,Total,561955
5,Antioquia,5091,BETANIA,2023,Total,10808
5,Antioquia,5093,BETULIA,2023,Total,16485
5,Antioquia,5101,CIUDAD BOLIVAR,2023,Total,27458
5,Antioquia,5107,BRICENO,2023,Total,8473
5,Antioquia,5113,BURITICA,2023,Total,9925
5,Antioquia,5120,CACERES,2023,Total,30925
5,Antioquia,5125,CAICEDO,2023,Total,8798
5,Antioquia,5129,CALDAS,2023,Total,85385
5,Antioquia,5134,CAMPAMENTO,2023,Total,9671
5,Antioquia,5138,CANASGORDAS,2023,Total,16256
5,Antioquia,5142,CARACOLI,2023,Total,4781
5,Antioquia,5145,CARAMANTA,2023,Total,4907
5,Antioquia,5147,CAREPA,2023,Total,51777
5,Antioquia,5148,EL CARMEN DE VIBORAL,2023,Total,63761
5,Antioquia,5150,CAROLINA,2023,Total,4174
5,Antioquia,5154,CAUCASIA,2023,Total,97025
5,Antioquia,5172,CHIGORODO,2023,Total,61741
5,Antioquia,5190,CISNEROS,2023,Total,10326
5,Antioquia,5197,COCORNA,2023,Total,16390
5,Antioquia,5206,CONCEPCION,2023,Total,5020
5,Antioquia,5209,CONCORDIA,2023,Total,22540
5,Antioquia,5212,COPACABANA,2023,Total,83559
5,Antioquia,5234,DABEIBA,2023,Total,24377
5,Antioquia,5237,DONMATIAS,2023,Total,20198
5,Antioquia,5240,EBEJICO,2023,Total,12713
5,Antioquia,5250,EL BAGRE,2023,Total,55845
5,Antioquia,5264,ENTRERRIOS,2023,Total,11982
5,Antioquia,5266,ENVIGADO,2023,Total,246327
